iter	Logloss	Accuracy
82	0.300796356	0.8734322558
83	0.3003338674	0.8738738739
84	0.3000145268	0.8738738739
85	0.2991204659	0.8746687864
86	0.2985105145	0.8755520226
87	0.2982685314	0.8764352588
88	0.2973978205	0.8771418477
89	0.2968293234	0.8770535241
90	0.2961589274	0.8777601131
91	0.2953298378	0.8782017311
92	0.2946698768	0.8782017311
93	0.2943745341	0.8783783784
94	0.2943121248	0.8782017311
95	0.2935976869	0.8797915563
96	0.2932458432	0.8798798799
97	0.2927960802	0.879614909
98	0.2925308655	0.879614909
99	0.2919332569	0.8802331744
100	0.2910529688	0.8800565271
101	0.2901550422	0.8804981452
102	0.2896922361	0.8805864688
103	0.2892391566	0.8811164105
104	0.2890217267	0.8811164105
105	0.2886252184	0.8816463522
106	0.2883006825	0.881469705
107	0.2874232516	0.8821762939
108	0.287003209	0.8821762939
109	0.2865894579	0.8828828829
110	0.2864834818	0.8828828829
111	0.2863915537	0.8829712065
112	0.2857950926	0.8830595301
113	0.2849700519	0.8835011482
114	0.2842532734	0.8845610316
115	0.2838754168	0.8840310899
116	0.2834649183	0.884472708
117	0.2830379098	0.884472708
118	0.2824669492	0.8849143261
119	0.282236049	0.8853559442
120	0.2820463762	0.8855325914
121	0.2816711479	0.885620915
122	0.2815110256	0.8857092387
123	0.2807086316	0.8860625331
124	0.2806763379	0.8861508567
125	0.2802457958	0.886327504
126	0.2798352751	0.886327504
127	0.2795897361	0.8867691221
128	0.279190757	0.8868574457
129	0.2785481376	0.8869457693
130	0.2778982093	0.8870340929
131	0.2777544851	0.8873873874
132	0.2775439119	0.8877406819
133	0.2775163758	0.8878290055
134	0.2774023138	0.8880939763
135	0.2769180959	0.887475711
136	0.2765668255	0.8877406819
137	0.2760895598	0.8876523582
138	0.2756837385	0.8881822999
139	0.2751892424	0.888623918
140	0.2747928456	0.8884472708
141	0.2742218826	0.8888005653
142	0.2736650895	0.8894188306
143	0.2736134835	0.889330507
144	0.2728477018	0.8890655361
145	0.2726377288	0.8895954778
146	0.2722072896	0.8902137432
147	0.2713683873	0.891185303
148	0.2707866159	0.8915385974
149	0.2701668465	0.8918918919
150	0.2696192905	0.8920685391
151	0.2688691867	0.8920685391
152	0.2685570054	0.89233351
153	0.2680749094	0.8924218336
154	0.2680191563	0.8924218336
155	0.2677036347	0.8927751281
156	0.2672801539	0.8932167462
157	0.2666085899	0.8937466879
158	0.266175701	0.8938350115
159	0.2657594044	0.8942766296
160	0.2653439155	0.8947182477
161	0.2650112952	0.8944532768
162	0.2645928853	0.894629924
163	0.2642616656	0.8948948949
164	0.2636140812	0.8949832185
165	0.2630563117	0.895336513
166	0.2626884225	0.8963963964
167	0.2622885829	0.8966613672
168	0.2619592812	0.8965730436
169	0.2618024182	0.8963963964
170	0.2615834549	0.8965730436
171	0.2613792041	0.8967496909
172	0.2609740281	0.8966613672
173	0.260392945	0.8971029853
174	0.2602979317	0.897191309
175	0.2597150705	0.8972796326
176	0.2590382194	0.8974562798
177	0.2582319573	0.8978095743
178	0.2573785195	0.8978095743
179	0.2568821095	0.8974562798
180	0.2568647099	0.8974562798
181	0.2562375037	0.8980745451
182	0.255822764	0.8981628688
183	0.2555440113	0.8982511924
184	0.2552178048	0.8988694577
185	0.2548842226	0.8993110758
186	0.2545481311	0.8993110758
187	0.2541350715	0.8998410175
188	0.2539029821	0.9000176647
189	0.2537053328	0.8999293411
190	0.2533287802	0.9000176647
191	0.2530428126	0.8997526939
192	0.2529735723	0.8998410175
193	0.2522319691	0.900194312
194	0.252135902	0.9000176647
195	0.2516910037	0.9005476064
196	0.2516909935	0.9005476064
197	0.2516477956	0.9005476064
198	0.2512768217	0.9009892245
199	0.251022799	0.9011658718
200	0.2502055683	0.901342519
201	0.2497590634	0.9016074898
202	0.2496226315	0.9015191662
203	0.2492394336	0.9016958135
204	0.2489739867	0.9018724607
205	0.2487039921	0.9019607843
206	0.248277288	0.9022257552
207	0.2479707271	0.9023140788
208	0.2477552297	0.9026673733
209	0.2472778239	0.9029323441
210	0.2470226532	0.9027556969
211	0.246904087	0.9027556969
212	0.2466478622	0.9024024024
213	0.2465405513	0.9027556969
214	0.2461189196	0.9028440205
215	0.2457774677	0.903197315
216	0.2454637984	0.9032856386
217	0.2450348706	0.9039039039
218	0.2446173288	0.9036389331
219	0.2441186739	0.9039039039
220	0.2434086862	0.9047871401
221	0.2429723943	0.9053170818
222	0.2423878127	0.9056703763
223	0.2419934622	0.9055820526
224	0.2416132853	0.9058470235
225	0.2408685301	0.905493729
226	0.2404876957	0.9057586999
227	0.2402781702	0.9062886416
228	0.2397415641	0.9061119943
229	0.2393644856	0.9064652888
230	0.2391593741	0.9067302597
231	0.2386568761	0.9065536124
232	0.2385135517	0.9064652888
233	0.238408097	0.9065536124
234	0.2383891644	0.9064652888
235	0.2380532663	0.9069069069
236	0.2378067168	0.9068185833
237	0.237549701	0.9070835541
238	0.23716389	0.9072602014
239	0.2367091348	0.9081434376
240	0.2362381797	0.9083200848
241	0.2359337955	0.908496732
242	0.2355498465	0.9082317612
243	0.2351262058	0.9087617029
244	0.2349865542	0.9094682918
245	0.2348751759	0.9092916446
246	0.2345314992	0.9093799682
247	0.2342818088	0.9097332627
248	0.2338163649	0.9094682918
249	0.2335797953	0.9098215863
250	0.2331935153	0.9106164989
251	0.2326610982	0.9112347642
252	0.2325430194	0.9109697933
253	0.2321247779	0.9116763823
254	0.2319582917	0.9118530295
255	0.2315264829	0.9118530295
256	0.2311568078	0.9122946476
257	0.2307137968	0.9123829712
258	0.2300854574	0.9128245893
259	0.2298021939	0.9131778838
260	0.2297900022	0.9131778838
261	0.2295331332	0.9131778838
262	0.2289956619	0.9130895601
263	0.2285094197	0.9134428546
264	0.2282352745	0.9137078255
265	0.2279267902	0.9137078255
266	0.2278328193	0.9136195019
267	0.2273574982	0.9137078255
268	0.2273138944	0.9136195019
269	0.226742809	0.9135311782
270	0.2264832231	0.9139727963
271	0.2259517229	0.9141494436
272	0.2255059108	0.9143260908
273	0.2251292088	0.9140611199
274	0.2249625807	0.9141494436
275	0.2244174019	0.9146793853
276	0.2239990332	0.915209327
277	0.223731686	0.9155626214
278	0.2232695286	0.9152976506
279	0.2229298971	0.9158275923
280	0.2226125787	0.9157392687
281	0.2223114883	0.9162692104
282	0.2218720435	0.9157392687
283	0.2214738934	0.9156509451
284	0.2211812652	0.9159159159
285	0.2210298775	0.9160042395
286	0.2206545022	0.916357534
287	0.2202008924	0.9168874757
288	0.2199334403	0.9171524466
289	0.2197060577	0.9170641229
290	0.2194108835	0.9173290938
291	0.2191220274	0.9174174174
292	0.2187182596	0.9178590355
293	0.218442603	0.9177707119
294	0.2180706433	0.9179473591
295	0.217778744	0.9177707119
296	0.2176039676	0.9177707119
297	0.2174614053	0.9179473591
298	0.2171182812	0.9179473591
299	0.2169447985	0.9181240064
300	0.2167333088	0.9179473591
301	0.2165391502	0.91821233
302	0.2164205331	0.9183006536
303	0.2159878902	0.9183889772
304	0.2158599491	0.9183889772
305	0.215618907	0.9189189189
306	0.2154770922	0.9188305953
307	0.2149734303	0.9195371842
308	0.2148057726	0.9192722134
309	0.2144309683	0.9196255079
310	0.2141839461	0.9197138315
311	0.2138725538	0.9198021551
312	0.2137751588	0.9198021551
313	0.2136114852	0.9194488606
314	0.2135105631	0.9194488606
315	0.2133371078	0.9194488606
316	0.2129110767	0.9197138315
317	0.2126761462	0.9197138315
318	0.2125762885	0.9197138315
319	0.2121367173	0.9195371842
320	0.2118478264	0.9196255079
321	0.2115057279	0.9198904787
322	0.2109543396	0.9202437732
323	0.2105587479	0.9204204204
324	0.2102711649	0.9207737149
325	0.2099101375	0.9207737149
326	0.2091593996	0.9214803038
327	0.2090283888	0.9215686275
328	0.2087016464	0.9219219219
329	0.2082653642	0.92236354
330	0.20787538	0.9224518636
331	0.2076993891	0.92236354
332	0.2074070501	0.9227168345
333	0.2071379685	0.9231584526
334	0.2069570621	0.923070129
335	0.2068002014	0.9229818053
336	0.2065477991	0.9228051581
337	0.2063967254	0.9232467762
338	0.206001764	0.9236000707
339	0.205826596	0.9236883943
340	0.205503621	0.9236000707
341	0.2054791966	0.9236000707
342	0.2051859208	0.9239533651
343	0.2048753335	0.9239533651
344	0.204710049	0.9240416887
345	0.2043356498	0.924218336
346	0.2040531142	0.9243066596
347	0.2036150378	0.9251015722
348	0.2031909867	0.9257198375
349	0.2030448389	0.9257198375
350	0.2030410278	0.9257198375
351	0.2027989408	0.9258081611
352	0.2023742382	0.92651475
353	0.2020495004	0.9264264264
354	0.201955247	0.92651475
355	0.2016978035	0.9268680445
356	0.2015970057	0.9269563681
357	0.2014246806	0.9268680445
358	0.2014236923	0.9268680445
359	0.2011199153	0.9266913973
360	0.2009318669	0.9269563681
361	0.2007460308	0.927221339
362	0.2003729671	0.927221339
363	0.2001399892	0.9275746335
364	0.199689269	0.9278396043
365	0.1995791523	0.9280162515
366	0.1993839275	0.9280162515
367	0.1990790402	0.9281928988
368	0.198791752	0.9284578696
369	0.1985628524	0.9287228405
370	0.1984987461	0.9285461933
371	0.1983838533	0.9288994877
372	0.1983753697	0.9285461933
373	0.1981596422	0.9288994877
374	0.1981110534	0.9286345169
375	0.1980577897	0.9287228405
376	0.1977734998	0.9285461933
377	0.1974234236	0.9289878113
378	0.1971140247	0.929517753
379	0.1965532636	0.9299593711
380	0.1963529845	0.9300476948
381	0.1960502644	0.9301360184
382	0.1959007637	0.9301360184
383	0.1956740629	0.9306659601
384	0.1955115731	0.9308426073
385	0.1953746805	0.9307542837
386	0.1952749858	0.9306659601
387	0.1951810806	0.9305776365
388	0.1951810363	0.9305776365
389	0.1950125485	0.9305776365
390	0.194749268	0.9306659601
391	0.1944161245	0.9308426073
392	0.1941083141	0.9309309309
393	0.1939909243	0.9309309309
394	0.1939685056	0.9308426073
395	0.1936490661	0.9311075782
396	0.1934446228	0.9311075782
397	0.1934445777	0.9311075782
398	0.1933539723	0.9312842254
399	0.193144833	0.9315491963
400	0.192822325	0.9316375199
401	0.192392653	0.931372549
402	0.1922472059	0.9314608726
403	0.1921863781	0.9310192545
404	0.1918823724	0.9312842254
405	0.1918823566	0.931372549
406	0.1917330796	0.9311075782
407	0.1914548486	0.9311959018
408	0.1911874531	0.9312842254
409	0.1909918282	0.9316375199
410	0.1908942611	0.9317258435
411	0.19056305	0.9318141671
412	0.1903153135	0.9318141671
413	0.1900951329	0.9321674616
414	0.1898779652	0.9319024907
415	0.1897220408	0.932079138
416	0.1896535216	0.9323441088
417	0.1894078558	0.9319024907
418	0.1892001381	0.9319908143
419	0.1889026097	0.9322557852
420	0.1886673557	0.9328740505
421	0.188499397	0.9328740505
422	0.1882942151	0.9327857269
423	0.1880093942	0.9328740505
424	0.1878250182	0.9327857269
425	0.1875148099	0.9327857269
426	0.1872938362	0.9330506978
427	0.1870988799	0.9333156686
428	0.186825843	0.933227345
429	0.1865945358	0.9333156686
430	0.1862266519	0.9338456103
431	0.1859482544	0.9338456103
432	0.1856640918	0.9337572867
433	0.1855763325	0.9341105812
434	0.1853509713	0.9345521993
435	0.1851671565	0.9346405229
436	0.1847874383	0.9349054937
437	0.1846236292	0.9346405229
438	0.1843691182	0.9341989048
439	0.1841452044	0.9346405229
440	0.1839411181	0.9346405229
441	0.1835171931	0.9346405229
442	0.1833805516	0.9346405229
443	0.1829681401	0.9342872284
444	0.182709758	0.9347288465
445	0.1826795132	0.9349054937
446	0.182311158	0.9347288465
447	0.1823050413	0.9347288465
448	0.1821712249	0.935082141
449	0.181959477	0.9356120827
450	0.1817745807	0.9352587882
451	0.1816840183	0.9352587882
452	0.1816837382	0.9352587882
453	0.1813565202	0.9357004063
454	0.1811007399	0.9358770535
455	0.1809215545	0.9357887299
456	0.1807979694	0.9357887299
457	0.1807535328	0.9355237591
458	0.1805964712	0.9357004063
459	0.1801803415	0.9359653771
460	0.1798480173	0.9364953188
461	0.179687036	0.9364069952
462	0.1795660528	0.9364069952
463	0.1794405755	0.9366719661
464	0.1791358734	0.9366719661
465	0.1789728547	0.9367602897
466	0.178805939	0.9369369369
467	0.178539577	0.9371135842
468	0.1783029927	0.9370252606
469	0.1779091876	0.9369369369
470	0.1778991284	0.9369369369
471	0.1778417501	0.9371135842
472	0.1775890156	0.9372902314
473	0.1775889966	0.9372902314
474	0.1775028624	0.937378555
475	0.1774315178	0.937378555
476	0.1774314793	0.937378555
477	0.1772677244	0.9374668786
478	0.1770665723	0.9375552023
479	0.1768824655	0.9377318495
480	0.1767315507	0.937378555
481	0.1766287367	0.9379084967
482	0.1763516971	0.9377318495
483	0.1759838935	0.9377318495
484	0.1759062871	0.9376435259
485	0.1757720375	0.938085144
486	0.1757111199	0.9381734676
487	0.1756653875	0.9379968203
488	0.1756198739	0.9379968203
489	0.1754823414	0.9381734676
490	0.1751685756	0.9381734676
491	0.1749651157	0.9386150857
492	0.1749236122	0.9385267621
493	0.1748508543	0.9387034093
494	0.174795528	0.9386150857
495	0.1746711606	0.9386150857
496	0.1745209338	0.9388800565
497	0.1742239855	0.9390567038
498	0.1741483473	0.9393216746
499	0.1739863591	0.9390567038
500	0.1739240912	0.9394099982
501	0.1736975986	0.9400282636
502	0.1732394224	0.9400282636
503	0.1730135876	0.9400282636
504	0.1728358799	0.9399399399
505	0.1726810715	0.9407348525
506	0.1725658058	0.9408231761
507	0.1724254062	0.9409114997
508	0.1723878308	0.9409998234
509	0.1723125912	0.9409114997
510	0.1721092449	0.9409114997
511	0.1719243734	0.9408231761
512	0.1719056434	0.9408231761
513	0.1716891628	0.9416180887
514	0.1714265806	0.9414414414
515	0.1713154408	0.9411764706
516	0.1712336591	0.9412647942
517	0.1710625709	0.9417947359
518	0.1708547998	0.9414414414
519	0.1707682508	0.9414414414
520	0.1703999521	0.9418830595
521	0.1700627386	0.9414414414
522	0.1699214255	0.9417064123
523	0.1698523953	0.9417064123
524	0.1694849321	0.9415297651
525	0.1694063055	0.9415297651
526	0.1693324119	0.9417064123
527	0.1691123506	0.9417947359
528	0.1688966156	0.9421480304
529	0.1686269991	0.9421480304
530	0.1684645447	0.9424130012
531	0.1682586503	0.9421480304
532	0.1680568332	0.9419713831
533	0.1679383542	0.9421480304
534	0.1678588891	0.9421480304
535	0.1677282709	0.9425896485
536	0.1675977398	0.9428546193
537	0.1672853898	0.943384561
538	0.1670597017	0.9432962374
539	0.1669142763	0.9434728846
540	0.1668404451	0.943384561
541	0.166661148	0.9430312666
542	0.166393795	0.9431195902
543	0.1662612873	0.9435612083
544	0.165962771	0.9439145027
545	0.1657124476	0.94409115
546	0.1654447449	0.9442677972
547	0.1652889901	0.9447094153
548	0.1652733426	0.9447094153
549	0.1650302903	0.9456809751
550	0.164728977	0.9453276806
551	0.1645391084	0.9454160042
552	0.1642763489	0.9454160042
553	0.163850009	0.945239357
554	0.1636871767	0.9450627098
555	0.1634439799	0.945239357
556	0.1631812313	0.9455926515
557	0.1630405742	0.9455926515
558	0.1628256628	0.9457692987
559	0.1627698622	0.9456809751
560	0.1625266852	0.9459459459
561	0.1624445038	0.9460342696
562	0.1622363422	0.9461225932
563	0.162102192	0.9461225932
564	0.1620507585	0.9462992404
565	0.1619341626	0.9459459459
566	0.1616844654	0.9460342696
567	0.1613957504	0.9461225932
568	0.1612974805	0.9462109168
569	0.1611691421	0.9464758877
570	0.1609942291	0.9462109168
571	0.1608280236	0.9462109168
572	0.1607085313	0.9462109168
573	0.1606018925	0.9462992404
574	0.1605054935	0.9465642113
575	0.1603335469	0.946387564
576	0.160148755	0.946387564
577	0.1599350103	0.9469175057
578	0.1597298655	0.9472708002
579	0.1596209107	0.9473591238
580	0.15942525	0.9473591238
581	0.1592402847	0.9475357711
582	0.1589408967	0.9478007419
583	0.1587810339	0.9478007419
584	0.158446895	0.9479773892
585	0.1582115792	0.9480657128
586	0.1580633256	0.9479773892
587	0.1579019072	0.9478007419
588	0.1576216356	0.9478007419
589	0.1573614514	0.9478890655
590	0.1572404023	0.9483306836
591	0.1571057338	0.9486839781
592	0.1570402053	0.9485073309
593	0.1569402835	0.9487723017
594	0.1568747719	0.9487723017
595	0.1566513213	0.9486839781
596	0.1565156181	0.9491255962
597	0.1563481555	0.9494788907
598	0.1562607819	0.9494788907
599	0.1562000354	0.9495672143
600	0.1559740455	0.9497438615
601	0.1559739971	0.9497438615
602	0.1558614244	0.9500088324
603	0.1556709913	0.9501854796
604	0.1554754584	0.950097156
605	0.1554753831	0.9501854796
606	0.1553894371	0.950097156
607	0.1551956552	0.9500088324
608	0.1550012788	0.9503621268
609	0.154738036	0.9502738032
610	0.1544544739	0.9506270977
611	0.1542167181	0.9505387741
612	0.1540010441	0.9504504505
613	0.1539234503	0.9504504505
614	0.153715513	0.9507154213
615	0.1534026907	0.9508037449
616	0.1533069732	0.9507154213
617	0.1530667506	0.9508037449
618	0.1529001122	0.9509803922
619	0.1527812104	0.9510687158
620	0.1525770831	0.951245363
621	0.1524171573	0.951245363
622	0.1523296518	0.9513336866
623	0.1522298729	0.951245363
624	0.1520828838	0.951245363
625	0.1520012958	0.951245363
626	0.1518083123	0.9514220102
627	0.1517091587	0.9515986575
628	0.1516716026	0.9515986575
629	0.1515415915	0.9516869811
630	0.1513808777	0.9517753047
631	0.1511789313	0.9517753047
632	0.1509567675	0.951951952
633	0.1507256102	0.9522169228
634	0.1504271213	0.9522169228
635	0.1501953809	0.9523052464
636	0.1501431496	0.9523052464
637	0.1499778144	0.9524818937
638	0.1499258051	0.95239357
639	0.1498849975	0.95239357
640	0.1496139368	0.9523052464
641	0.1495378784	0.95239357
642	0.1493185427	0.9526585409
643	0.1491890484	0.9527468645
644	0.1490434805	0.9529235117
645	0.148750335	0.9533651298
646	0.1486519053	0.9532768062
647	0.1485555017	0.9533651298
648	0.1485480739	0.9533651298
649	0.1483134097	0.9532768062
650	0.1482232213	0.9533651298
651	0.1478903811	0.9536301007
652	0.1478029338	0.9535417771
653	0.1476483357	0.9534534535
654	0.1475407795	0.9536301007
655	0.1473487562	0.9538067479
656	0.1473486704	0.9538067479
657	0.1472584702	0.9540717188
658	0.1472383977	0.9541600424
659	0.1471046861	0.9540717188
660	0.1470336124	0.9538950715
661	0.1470335467	0.9538950715
662	0.1469903295	0.9540717188
663	0.1469902471	0.9540717188
664	0.1469124678	0.9540717188
665	0.1469122772	0.9540717188
666	0.1467597152	0.9539833952
667	0.146357489	0.9539833952
668	0.1460851946	0.9546899841
669	0.1458358047	0.9546899841
670	0.1454911593	0.9551316022
671	0.1451941143	0.9553082494
672	0.1450820769	0.9552199258
673	0.1450538528	0.9553082494
674	0.1448102057	0.9556615439
675	0.1446549014	0.9555732203
676	0.1445430642	0.9557498675
677	0.1443405399	0.956103162
678	0.1441535687	0.9565447801
679	0.1440080091	0.9566331037
680	0.1438730561	0.9566331037
681	0.1437505232	0.9567214273
682	0.1435830312	0.9565447801
683	0.143541046	0.9565447801
684	0.1434688256	0.9565447801
685	0.1433599609	0.9566331037
686	0.1431793418	0.9568980745
687	0.1430198546	0.9569863982
688	0.1428952631	0.9568980745
689	0.1427682588	0.957251369
690	0.1427242928	0.9570747218
691	0.142657472	0.9569863982
692	0.142594433	0.9570747218
693	0.1425113448	0.9569863982
694	0.1424811064	0.9568980745
695	0.1421545154	0.9573396926
696	0.1419512987	0.9571630454
697	0.1417780434	0.9573396926
698	0.1416896358	0.9571630454
699	0.141589835	0.9569863982
700	0.1414753872	0.957251369
701	0.1411996406	0.9575163399
702	0.1409786365	0.9570747218
703	0.1407259185	0.957251369
704	0.1406061386	0.9574280163
705	0.1405139567	0.9576046635
706	0.1402222698	0.9574280163
707	0.1400822819	0.9575163399
708	0.1400459684	0.9574280163
709	0.1398169998	0.9577813107
710	0.1396398868	0.9576046635
711	0.1394365962	0.9576929871
712	0.1392955152	0.9576929871
713	0.1392952206	0.9578696343
714	0.1391205182	0.9576046635
715	0.138948383	0.9578696343
716	0.1388183469	0.9576929871
717	0.1386691934	0.9580462816
718	0.1385534567	0.9583112524
719	0.1384472921	0.9586645469
720	0.1382957822	0.9586645469
721	0.1381330552	0.9585762233
722	0.1378946798	0.9587528705
723	0.1376791181	0.9589295178
724	0.1375218051	0.9590178414
725	0.1373864768	0.9590178414
726	0.1372462712	0.9591944886
727	0.1369788367	0.9594594595
728	0.136940556	0.9592828122
729	0.1367936275	0.9591944886
730	0.1365412666	0.9595477831
731	0.1365411633	0.9595477831
732	0.1365409084	0.9595477831
733	0.1364763627	0.9596361067
734	0.1364476993	0.9597244303
735	0.1362836467	0.9595477831
736	0.1361821014	0.9597244303
737	0.1361091517	0.9597244303
738	0.1357041854	0.9601660484
739	0.135505348	0.9600777248
740	0.1354552618	0.9599894012
741	0.1353293046	0.9601660484
742	0.1352077845	0.9603426956
743	0.1351496149	0.9603426956
744	0.1349996146	0.9604310193
745	0.134944954	0.9604310193
746	0.1347225819	0.9607843137
747	0.1347225729	0.9607843137
748	0.1345536566	0.960960961
749	0.1344180899	0.9608726373
750	0.1342127019	0.9610492846
751	0.1340454066	0.9612259318
752	0.1339284142	0.9612259318
753	0.1338725041	0.9613142554
754	0.1336350546	0.9611376082
755	0.1335086876	0.9613142554
756	0.1335060158	0.9613142554
757	0.1333953217	0.9612259318
758	0.1331182821	0.961402579
759	0.1329475964	0.9617558735
760	0.1328453356	0.9616675499
761	0.1327587736	0.9616675499
762	0.132629829	0.9617558735
763	0.1323866903	0.9617558735
764	0.1323270866	0.9617558735
765	0.1322802787	0.9617558735
766	0.132199496	0.9617558735
767	0.1319889233	0.9616675499
768	0.1317648279	0.9618441971
769	0.1317307546	0.9619325208
770	0.1315510153	0.9617558735
771	0.1314979966	0.9617558735
772	0.1313865025	0.9618441971
773	0.1313036273	0.9617558735
774	0.1311972827	0.962109168
775	0.1310793984	0.9619325208
776	0.1310329251	0.962109168
777	0.131003555	0.9621974916
778	0.1310035484	0.9621974916
779	0.130985527	0.9621974916
780	0.1308620941	0.9621974916
781	0.1308100935	0.9621974916
782	0.1307859022	0.9621974916
783	0.1307038618	0.9623741388
784	0.1306065039	0.9623741388
785	0.1305215055	0.9621974916
786	0.1303516145	0.9623741388
787	0.130246841	0.9624624625
788	0.1302467715	0.9624624625
789	0.1302060555	0.9624624625
790	0.1300990999	0.9624624625
791	0.1300943351	0.9624624625
792	0.1299196582	0.9624624625
793	0.1298547807	0.9621974916
794	0.1297000211	0.9623741388
795	0.1296069828	0.9626391097
796	0.1295657227	0.9628157569
797	0.1294770893	0.9626391097
798	0.1293969325	0.9628157569
799	0.1291888812	0.9630807278
800	0.1289505601	0.9633456986
801	0.1288028782	0.9634340223
802	0.1286624585	0.9634340223
803	0.1285325867	0.9635223459
804	0.1284244909	0.9634340223
805	0.1282825106	0.9636989931
806	0.1281908072	0.9636989931
807	0.1280292294	0.9636106695
808	0.1278344544	0.9637873167
809	0.1277610639	0.9637873167
810	0.1275799232	0.9637873167
811	0.1273769118	0.9641406112
812	0.1271786754	0.9641406112
813	0.12712345	0.9641406112
814	0.1269443674	0.9641406112
815	0.1267651239	0.9643172584
816	0.1266014118	0.9645822293
817	0.1265621196	0.9645822293
818	0.1263773606	0.9645822293
819	0.1261978543	0.9645822293
820	0.1260559489	0.9644055821
821	0.1259197591	0.9644939057
822	0.1257462157	0.9646705529
823	0.1256499559	0.9646705529
824	0.1255900626	0.9647588765
825	0.1254997542	0.9647588765
826	0.1253211482	0.965112171
827	0.1251235719	0.965112171
828	0.1250598481	0.965112171
829	0.1249385307	0.965112171
830	0.124865479	0.965112171
831	0.1246957515	0.9653771418
832	0.1245084051	0.9654654655
833	0.1244076262	0.9653771418
834	0.124335445	0.9654654655
835	0.1242886906	0.9655537891
836	0.1241431238	0.9654654655
837	0.1240422431	0.9655537891
838	0.1239375568	0.9656421127
839	0.1237245478	0.9657304363
840	0.1236174269	0.9657304363
841	0.1234228927	0.9659070836
842	0.1231648335	0.9665253489
843	0.1231198038	0.9667019961
844	0.1230564083	0.9667019961
845	0.1228418628	0.9671436142
846	0.1226533192	0.966966967
847	0.1225646476	0.966966967
848	0.1223979256	0.966966967
849	0.1223546639	0.9670552906
850	0.1222561901	0.9667903197
851	0.1221688568	0.9671436142
852	0.1221504862	0.9672319378
853	0.1219759669	0.9673202614
854	0.1217097127	0.9676735559
855	0.1216247584	0.9675852323
856	0.1216247214	0.9675852323
857	0.1215866935	0.9675852323
858	0.1214808054	0.9675852323
859	0.1214146294	0.9674969087
860	0.1211585995	0.9674969087
861	0.1210583349	0.9676735559
862	0.1209294654	0.9678502031
863	0.1209005222	0.9678502031
864	0.1208471367	0.9680268504
865	0.1207496	0.9678502031
866	0.1206845432	0.9679385268
867	0.120543335	0.9680268504
868	0.1203248733	0.968115174
869	0.1202444643	0.968115174
870	0.1200683256	0.9684684685
871	0.1199620757	0.9684684685
872	0.1198303251	0.9682918212
873	0.1196388323	0.9688217629
874	0.1195953298	0.9688217629
875	0.119444428	0.9689984102
876	0.1193774753	0.9690867338
877	0.1193322144	0.9690867338
878	0.1192419596	0.9689984102
879	0.1191120739	0.9689984102
880	0.1190739991	0.9690867338
881	0.1190019408	0.9689984102
882	0.1188535753	0.9689984102
